category,subcategory
"Engineering","Materials Science and Engineering"
"Engineering","Mechanical Engineering"
"Engineering","Mining Engineering"
"Engineering","Optical Engineering"
"Engineering","Process Engineering"
"Engineering","Radio Frequency (RF)"
"Engineering","Roads and Drainage"
"Engineering","Robotics"
"Engineering","Signal Processing"
"Engineering","Simulation and Simulation Software"
"Engineering","Surveying and Cartography"
"Environment","Air Quality and Emissions"
"Environment","Climate Change"
"Environment","Conservation"
"Environment","Ecology"
"Environment","Environment and Resource Management"
"Environment","Environmental Engineering and Restoration"
"Environment","Environmental Geology"
"Environment","Environmental Regulations"
"Environment","Forestry"
"Environment","Hazardous Materials Management"
"Environment","Waste Management"
"Finance","Accounting and Finance Software"
"Finance","Accounts Payable and Receivable"
"Finance","Banking Services"
"Finance","Billing and Invoicing"
"Finance","Budget Management"
"Finance","Cash Management"
"Finance","Commercial Lending"
"Finance","Cost Accounting"
"Finance","Cryptocurrency"
"Finance","Electronic Trading"
"Finance","Financial Accounting"
"Finance","Financial Advisement"
"Finance","Financial Analysis"
"Finance","Financial Management"
"Finance","Financial Modeling"
"Finance","Financial Regulation"
"Finance","Financial Reporting"
"Finance","Financial Trading"
"Finance","General Accounting"
"Finance","General Finance"
"Finance","General Lending"
"Finance","Insurance"
"Finance","Investment Management"
"Finance","Mergers and Acquisitions"
"Finance","Mortgage Lending"
"Finance","Specialized Accounting"
"Finance","Structured Finance"
"Finance","Tax"
"Finance","Underwriting"
"Health Care","Alternative Therapy"
"Health Care","Anesthesiology"
"Health Care","Animal Health and Veterinary Medicine"
"Health Care","Blood Collection"
"Health Care","Cardiology"
"Health Care","Clinical Informatics"
"Health Care","Dermatology"
"Health Care","Ear, Nose, and Throat"
"Health Care","Emergency and Intensive Care"
"Health Care","Endocrinology"
"Health Care","Eye Care"
"Health Care","First Aid"
"Health Care","Gastroenterology"
"Health Care","General Medical Tests and Procedures"
"Health Care","General Medicine"
"Health Care","Genetic Disorders"
"Health Care","Geriatrics"
"Health Care","Health Care Administration"
"Health Care","Health Care Procedure and Regulation"
"Health Care","Health Information Management and Medical Records"
"Health Care","Hematology"
"Health Care","Hepatology"
"Health Care","Home Health Care and Assisted Living"
"Health Care","Immunology"
"Health Care","Infectious Diseases"
"Health Care","Injury Treatment"
"Health Care","Medical Billing and Coding"
"Health Care","Medical Equipment and Technology"
"Health Care","Medical Imaging"
"Health Care","Medical Support"
"Health Care","Mental and Behavioral Health Specialties"
"Health Care","Mental Health Diseases and Disorders"
"Health Care","Mental Health Therapies"
"Health Care","Mobility Assistance"
"Health Care","Nephrology"
"Health Care","Neurology"
"Health Care","Nuclear Medicine"
"Health Care","Nursing and Patient Care"
"Health Care","Nutrition and Diet"
"Health Care","Obstetrics and Gynecology (OBGYN)"
"Health Care","Oncology"
"Health Care","Oral and Dental Care"
"Health Care","Orthopedics"
"Health Care","Pathology"
"Health Care","Patient Education and Support"
"Health Care","Pediatrics"
"Health Care","Pharmacy"
"Health Care","Physical Therapy"
"Health Care","Poison Control"
"Health Care","Public Health and Disease Prevention"
"Health Care","Pulmonology"
"Health Care","Rehabilitation"
"Health Care","Speech Language Pathology"
"Health Care","Surgery"
"Health Care","Urology"
"Hospitality and Food Services","Events and Conferences"
"Hospitality and Food Services","Food and Beverage"
"Hospitality and Food Services","Hospitality Services"
"Hospitality and Food Services","Hotels and Accommodations"
"Hospitality and Food Services","Travel and Tourism"
"Human Resources","Compensation and Benefits"
"Human Resources","Employee Relations"
"Human Resources","Employee Training"
"Human Resources","Human Resources Management and Planning"
"Human Resources","Human Resources Software"
"Human Resources","Payroll"
"Human Resources","Recruitment"
"Information Technology","Agile Software Development"
"Information Technology","Application Programming Interface (API)"
"Information Technology","Artificial Intelligence and Machine Learning (AI/ML)"
"Information Technology","Augmented and Virtual Reality (AR/VR)"
"Information Technology","Backup Software"
"Information Technology","Basic Technical Knowledge"
"Information Technology","Blockchain"
"Information Technology","C and C++"
"Information Technology","Cloud Computing"
"Information Technology","Cloud Solutions"
"Information Technology","Collaborative Software"
"Information Technology","Computer Hardware"
"Information Technology","Computer Science"
"Information Technology","Configuration Management"
"Information Technology","Content Management Systems"
"Information Technology","Cybersecurity"
"Information Technology","Data Collection"
"Information Technology","Data Management"
"Information Technology","Data Storage"
"Information Technology","Database Architecture and Administration"
"Information Technology","Databases"
"Information Technology","Distributed Computing"
"Information Technology","Enterprise Application Management"
"Information Technology","Enterprise Information Management"
"Information Technology","Extensible Languages and XML"
"Information Technology","Extraction, Transformation, and Loading (ETL)"
"Information Technology","Firmware"
"Information Technology","General Networking"
"Information Technology","Geospatial Information and Technology"
"Information Technology","Identity and Access Management"
"Information Technology","Integrated Development Environments (IDEs)"
"Information Technology","Internet of Things (IoT)"
"Information Technology","iOS Development"
"Information Technology","IT Automation"
"Information Technology","IT Management"
"Information Technology","Java"
"Information Technology","JavaScript and jQuery"
"Information Technology","Log Management"
"Information Technology","Mainframe Technologies"
"Information Technology","Malware Protection"
"Information Technology","Microsoft Development Tools"
"Information Technology","Microsoft Windows"
"Information Technology","Middleware"
"Information Technology","Mobile Development"
"Information Technology","Network Protocols"
"Information Technology","Network Security"
"Information Technology","Networking Hardware"
"Information Technology","Networking Software"
"Information Technology","Operating Systems"
"Information Technology","Other Programming Languages"
"Information Technology","Query Languages"
"Information Technology","Scripting"
"Information Technology","Scripting Languages"
"Information Technology","Search Engines"
"Information Technology","Servers"
"Information Technology","Software Development"
"Information Technology","Software Development Tools"
"Information Technology","Software Quality Assurance"
"Information Technology","System Design and Implementation"
"Information Technology","Systems Administration"
"Information Technology","Technical Support and Services"
"Information Technology","Telecommunications"
"Information Technology","Test Automation"
"Information Technology","Version Control"
"Information Technology","Video and Web Conferencing"
"Information Technology","Virtualization and Virtual Machines"
"Information Technology","Web Content"
"Information Technology","Web Design and Development"
"Information Technology","Web Services"
"Information Technology","Wireless Technologies"
"Law, Regulation, and Compliance","Auditing"
"Law, Regulation, and Compliance","Criminal Investigation and Forensics"
"Law, Regulation, and Compliance","Labor Compliance"
"Law, Regulation, and Compliance","Law Enforcement and Criminal Justice"
"Law, Regulation, and Compliance","Legal Proceedings"
"Law, Regulation, and Compliance","Legal Support"
"Law, Regulation, and Compliance","Litigation and Civil Justice"
"Law, Regulation, and Compliance","Occupational Health and Safety"
"Law, Regulation, and Compliance","Property Law"
"Law, Regulation, and Compliance","Quality Assurance and Control"
"Law, Regulation, and Compliance","Regulation and Legal Compliance"
"Maintenance, Repair, and Facility Services","Appliance Repair and Maintenance"
"Maintenance, Repair, and Facility Services","Basic Electrical Systems"
"Maintenance, Repair, and Facility Services","Cleaning and Janitorial Services"
"Maintenance, Repair, and Facility Services","Equipment Repair and Maintenance"
"Maintenance, Repair, and Facility Services","Facility Management and Maintenance"
"Maintenance, Repair, and Facility Services","General Repairs and Maintenance"
"Maintenance, Repair, and Facility Services","Groundskeeping and Yard Care"
"Maintenance, Repair, and Facility Services","Hand Tools"
"Maintenance, Repair, and Facility Services","HVAC"
"Maintenance, Repair, and Facility Services","Plumbing"
"Maintenance, Repair, and Facility Services","Power Tools"
"Maintenance, Repair, and Facility Services","Telecommunications Equipment and Installation"
"Maintenance, Repair, and Facility Services","Vehicle Repair and Maintenance"
"Manufacturing and Production","Computer-Aided Manufacturing"
"Manufacturing and Production","Electronics Manufacturing"
"Manufacturing and Production","Food Science and Processing"
"Manufacturing and Production","Lean Manufacturing"
"Manufacturing and Production","Machinery"
"Manufacturing and Production","Manufacturing Design"
"Manufacturing and Production","Manufacturing Processes"
"Manufacturing and Production","Manufacturing Standards"
"Manufacturing and Production","Metal Fabrication"
"Manufacturing and Production","Micro Manufacturing"
"Manufacturing and Production","Plant Operations and Management"
"Manufacturing and Production","Product Development"
"Manufacturing and Production","Product Inspection"
"Manufacturing and Production","Production and Assembly"
"Manufacturing and Production","Textiles"
"Manufacturing and Production","Transportation Equipment Manufacturing"
"Manufacturing and Production","Welding, Brazing, and Soldering"
"Marketing and Public Relations","Advertising"
"Marketing and Public Relations","Brand Management"
"Marketing and Public Relations","Digital Marketing"
"Marketing and Public Relations","Fundraising and Crowdsourcing"
"Marketing and Public Relations","Industry Specific Marketing"
"Marketing and Public Relations","Market Analysis"
"Marketing and Public Relations","Marketing Software"
"Marketing and Public Relations","Marketing Strategy and Techniques"
"Marketing and Public Relations","Online Advertising"
"Marketing and Public Relations","Promotions and Campaigns"
"Marketing and Public Relations","Public Relations"
"Marketing and Public Relations","Social Media"
"Marketing and Public Relations","Web Analytics and SEO"
"Media and Communications","Audio Production and Technology"
"Media and Communications","Communication"
"Media and Communications","Content Development and Management"
"Media and Communications","Journalism"
"Media and Communications","Language Competency"
"Media and Communications","Language Interpretation, Translation, and Studies"
"Media and Communications","Literature and Literary Studies"
"Media and Communications","Media Production"
"Media and Communications","Photo/Video Production and Technology"
"Media and Communications","Streaming Media Systems"
"Media and Communications","Writing and Editing"
"Performing Arts, Sports, and Recreation","Coaching and Athletic Training"
"Performing Arts, Sports, and Recreation","Dance"
"Performing Arts, Sports, and Recreation","Music"
"Performing Arts, Sports, and Recreation","Sports and Recreation"
"Performing Arts, Sports, and Recreation","Theatre and Performance Art"
"Personal Care and Services","Animal Care"
"Personal Care and Services","Beauty and Body Treatments and Alterations"
"Personal Care and Services","Child Care"
"Personal Care and Services","Funeral and Mortuary Services"
"Physical and Inherent Abilities","Critical Thinking and Problem Solving"
"Physical and Inherent Abilities","Initiative and Leadership"
"Physical and Inherent Abilities","Personal Attributes"
"Physical and Inherent Abilities","Physical Abilities"
"Physical and Inherent Abilities","Social Skills"
"Property and Real Estate","Property Management"
"Property and Real Estate","Real Estate Development"
"Property and Real Estate","Real Estate Sales"
"Public Safety and National Security","Disaster Management"
"Public Safety and National Security","Emergency Services"
"Public Safety and National Security","Fire Prevention, Safety, and Control"
"Public Safety and National Security","Intelligence Collection and Analysis"
"Public Safety and National Security","Military Operations"
"Public Safety and National Security","Military Technology and Weapons"
"Public Safety and National Security","Safety and Security"
"Public Safety and National Security","Safety and Surveillance Technology"
"Sales","Account Management"
"Sales","Business-to-Business (B2B) Sales"
"Sales","Company, Product, and Service Knowledge"
"Sales","E-Commerce"
"Sales","General Sales Practices"
"Sales","Merchandising"
"Sales","Prospecting and Qualification"
"Sales","Retail Sales"
"Sales","Sales Analysis"
"Sales","Sales Management"
"Sales","Solution Sales Engineering"
"Sales","Specialized Sales"
"Science and Research","Bioinformatics"
"Science and Research","Biology"
"Science and Research","Biotechnology"
"Science and Research","Chemistry"
"Science and Research","Clinical Trials"
"Science and Research","Earth and Space Science"
"Science and Research","Elements, Compounds, and Materials"
"Science and Research","General Science and Research"
"Science and Research","Genetics"
"Science and Research","Laboratory Research"
"Science and Research","Medical Science and Research"
"Science and Research","Molecular, Cellular, and Microbiology"
"Science and Research","Neuroscience"
"Science and Research","Pharmacology and Drug Discovery"
"Science and Research","Physics"
"Science and Research","Science Software"
"Social and Human Services","Community and Social Work"
"Social and Human Services","Counseling Services"
"Social and Human Services","Government Assistance"
"Social and Human Services","Religious Studies and Services"
"Transportation, Supply Chain, and Logistics","Air Transportation"
"Transportation, Supply Chain, and Logistics","General Shipping and Receiving"
"Transportation, Supply Chain, and Logistics","Ground Freight Transportation"
"Transportation, Supply Chain, and Logistics","Ground Passenger Transportation"
"Transportation, Supply Chain, and Logistics","Inventory and Warehousing"
"Transportation, Supply Chain, and Logistics","Logistics"
"Transportation, Supply Chain, and Logistics","Material Handling"
"Transportation, Supply Chain, and Logistics","Procurement"
"Transportation, Supply Chain, and Logistics","Rail Transportation"
"Transportation, Supply Chain, and Logistics","Sea and Waterway Transportation"
"Transportation, Supply Chain, and Logistics","Supplier Management"
"Transportation, Supply Chain, and Logistics","Supply Chain Management"
"Transportation, Supply Chain, and Logistics","Transportation Operations"
"Transportation, Supply Chain, and Logistics","Transportation Security"
